cycle,voltage,current,power,soc_percent
153,4.168,0.007,0.029176,80.058267
154,4.172,0.0067,0.027952,80.058639
155,4.168,0.007,0.029176,80.059028
156,4.172,0.0069,0.028787,80.059411
157,4.172,0.0071,0.029621,80.059806
158,4.172,0.0071,0.029621,80.060200
159,4.172,0.0071,0.029621,80.060594
160,4.172,0.0068,0.02837,80.060972
161,4.172,0.0066,0.027535,80.061339
162,4.172,0.0066,0.027535,80.061706
163,4.172,0.007,0.029204,80.062094
164,4.172,0.0071,0.029621,80.062489
165,4.172,0.007,0.029204,80.062878
166,4.176,0.0067,0.027979,80.063250
167,4.172,0.0068,0.02837,80.063628
168,4.176,0.0069,0.028814,80.064011
169,4.172,0.007,0.029204,80.064400
170,4.172,0.0069,0.028787,80.064783
171,4.176,0.0069,0.028814,80.065167
172,4.176,0.007,0.029232,80.065556
173,4.176,0.007,0.029232,80.065944
174,4.172,0.0066,0.027535,80.066311
175,4.172,0.0069,0.028787,80.066694
176,4.176,0.007,0.029232,80.067083
177,4.172,0.0066,0.027535,80.067450
178,4.176,0.0068,0.028397,80.067828
179,4.172,0.0069,0.028787,80.068211
180,4.172,0.007,0.029204,80.068600
181,4.176,0.0068,0.028397,80.068978
182,4.176,0.0069,0.028814,80.069361
183,4.172,0.0067,0.027952,80.069733
184,4.176,0.0072,0.030067,80.070133
185,4.176,0.007,0.029232,80.070522
186,4.176,0.0069,0.028814,80.070906
187,4.172,0.0068,0.02837,80.071283
188,4.176,0.007,0.029232,80.071672
189,4.172,0.0071,0.029621,80.072067
190,4.176,0.0068,0.028397,80.072444
191,4.172,0.0069,0.028787,80.072828
192,4.172,0.007,0.029204,80.073217
193,4.172,0.0071,0.029621,80.073611
194,4.176,0.0069,0.028814,80.073994
195,4.172,0.0071,0.029621,80.074389
196,4.172,0.0068,0.02837,80.074767
197,4.172,0.0071,0.029621,80.075161
198,4.172,0.0069,0.028787,80.075544
199,4.172,0.0071,0.029621,80.075939
200,4.172,0.007,0.029204,80.076328
201,4.172,0.0072,0.030038,80.076728
202,4.176,0.0068,0.028397,80.077106
203,4.172,0.0068,0.02837,80.077483
204,4.176,0.0069,0.028814,80.077867
205,4.172,0.007,0.029204,80.078256
206,4.172,0.0069,0.028787,80.078639
207,4.172,0.007,0.029204,80.079028
208,4.172,0.0067,0.027952,80.079400
209,4.176,0.0068,0.028397,80.079778
210,4.172,0.0069,0.028787,80.080161
211,4.172,0.0069,0.028787,80.080544
212,4.18,0.0068,0.028424,80.080922
213,4.172,0.0065,0.027118,80.081283
214,4.168,0.0068,0.028342,80.081661
215,4.176,0.0071,0.02965,80.082056
216,4.172,0.0069,0.028787,80.082439
217,4.168,0.0072,0.03001,80.082839
218,4.172,0.0069,0.028787,80.083222
219,4.172,0.0067,0.027952,80.083594
220,4.18,0.0068,0.028424,80.083972
221,4.172,0.0068,0.02837,80.084350
222,4.176,0.0068,0.028397,80.084728
223,4.172,0.0069,0.028787,80.085111
224,4.172,0.007,0.029204,80.085500
225,4.172,0.0067,0.027952,80.085872
226,4.172,0.007,0.029204,80.086261
227,4.172,0.0067,0.027952,80.086633
228,4.168,0.0072,0.03001,80.087033
229,4.172,0.0071,0.029621,80.087428
230,4.176,0.0069,0.028814,80.087811
231,4.176,0.007,0.029232,80.088200
232,4.168,0.0071,0.029593,80.088594
233,4.172,0.0066,0.027535,80.088961
234,4.172,0.0069,0.028787,80.089344
235,4.172,0.007,0.029204,80.089733
236,4.172,0.007,0.029204,80.090122
237,4.172,0.0069,0.028787,80.090506
238,4.172,0.0067,0.027952,80.090878
239,4.172,0.0069,0.028787,80.091261
240,4.172,0.007,0.029204,80.091650
241,4.172,0.0068,0.02837,80.092028
242,4.176,0.0069,0.028814,80.092411
243,4.172,0.0068,0.02837,80.092789
244,4.168,0.007,0.029176,80.093178
245,4.172,0.0068,0.02837,80.093556
246,4.172,0.0067,0.027952,80.093928
247,4.172,0.0071,0.029621,80.094322
248,4.172,0.0067,0.027952,80.094694
249,4.172,0.0072,0.030038,80.095094
250,4.172,0.0069,0.028787,80.095478
251,4.172,0.0068,0.02837,80.095856
252,4.172,0.007,0.029204,80.096244
253,4.172,0.0067,0.027952,80.096617
254,4.172,0.0069,0.028787,80.097000
255,4.172,0.0072,0.030038,80.097400
256,4.172,0.0069,0.028787,80.097783
257,4.168,0.0067,0.027926,80.098156
258,4.172,0.0069,0.028787,80.098539
259,4.172,0.0071,0.029621,80.098933
260,4.172,0.0071,0.029621,80.099328
261,4.176,0.0069,0.028814,80.099711
262,4.172,0.0067,0.027952,80.100083
263,4.172,0.007,0.029204,80.100472
264,4.172,0.0068,0.02837,80.100850
265,4.172,0.0069,0.028787,80.101233
266,4.172,0.007,0.029204,80.101622
267,4.172,0.0071,0.029621,80.102017
268,4.172,0.0068,0.02837,80.102394
269,4.168,0.0066,0.027509,80.102761
270,4.168,0.0069,0.028759,80.103144
271,4.168,0.007,0.029176,80.103533
