cycle,voltage,current,power
279,0.868,0.0058,0.005034
280,0.868,0.0058,0.005034
281,0.872,0.0059,0.005145
282,0.868,0.0061,0.005295
283,0.868,0.0059,0.005121
284,0.868,0.0058,0.005034
285,0.872,0.0059,0.005145
286,0.872,0.0059,0.005145
287,0.868,0.0058,0.005034
288,0.868,0.0061,0.005295
289,0.864,0.006,0.005184
290,0.868,0.0061,0.005295
291,0.868,0.0061,0.005295
292,0.868,0.0061,0.005295
293,0.864,0.0057,0.004925
294,0.868,0.0061,0.005295
295,0.868,0.0058,0.005034
296,0.868,0.0058,0.005034
297,0.868,0.0058,0.005034
298,0.868,0.0057,0.004948
299,0.864,0.0062,0.005357
300,0.864,0.0059,0.005098
301,0.868,0.0058,0.005034
302,0.864,0.0061,0.00527
303,0.868,0.0061,0.005295
304,0.868,0.0055,0.004774
305,0.864,0.0058,0.005011
306,0.868,0.0059,0.005121
307,0.864,0.0058,0.005011
308,0.864,0.0058,0.005011
309,0.868,0.0058,0.005034
310,0.864,0.0059,0.005098
311,0.864,0.0059,0.005098
312,0.86,0.006,0.00516
313,0.864,0.0059,0.005098
314,0.864,0.0059,0.005098
315,0.864,0.0061,0.00527
316,0.864,0.0058,0.005011
317,0.868,0.006,0.005208
318,0.86,0.0059,0.005074
319,0.868,0.0058,0.005034
320,0.864,0.0058,0.005011
321,0.868,0.0059,0.005121
322,0.864,0.0059,0.005098
323,0.868,0.0058,0.005034
324,0.868,0.0061,0.005295
325,0.868,0.0057,0.004948
326,0.868,0.0059,0.005121
327,0.868,0.0059,0.005121
328,0.86,0.0058,0.004988
329,0.868,0.0063,0.005468
330,0.868,0.0059,0.005121
331,0.864,0.006,0.005184
332,0.868,0.0057,0.004948
333,0.868,0.0058,0.005034
334,0.864,0.0057,0.004925
335,0.868,0.0058,0.005034
336,0.86,0.0058,0.004988
337,0.868,0.006,0.005208
338,0.864,0.0058,0.005011
339,0.868,0.0062,0.005382
340,0.864,0.0056,0.004838
341,0.868,0.0058,0.005034
342,0.864,0.0057,0.004925
343,0.868,0.0059,0.005121
344,0.864,0.0063,0.005443
345,0.868,0.0058,0.005034
346,0.872,0.006,0.005232
347,0.864,0.0058,0.005011
348,0.868,0.0059,0.005121
349,0.868,0.0059,0.005121
350,0.868,0.006,0.005208
351,0.868,0.0059,0.005121
352,0.868,0.0058,0.005034
353,0.868,0.0057,0.004948
354,0.868,0.0061,0.005295
355,0.864,0.0059,0.005098
356,0.868,0.0056,0.004861
357,0.868,0.0059,0.005121
358,0.868,0.0059,0.005121
359,0.872,0.0058,0.005058
360,0.864,0.0061,0.00527
361,0.868,0.0061,0.005295
362,0.864,0.006,0.005184
363,0.868,0.0059,0.005121
364,0.868,0.0059,0.005121
365,0.868,0.0061,0.005295
366,0.868,0.0058,0.005034
367,0.868,0.0059,0.005121
368,0.872,0.0059,0.005145
369,0.868,0.0061,0.005295
370,0.868,0.0061,0.005295
371,0.868,0.0057,0.004948
372,0.868,0.0061,0.005295
373,0.864,0.0058,0.005011
374,0.864,0.0057,0.004925
375,0.868,0.0061,0.005295
376,0.864,0.0059,0.005098
377,0.868,0.0056,0.004861
378,0.872,0.006,0.005232
379,0.864,0.006,0.005184
380,0.86,0.0057,0.004902
381,0.864,0.0061,0.00527
382,0.868,0.0058,0.005034
383,0.868,0.0058,0.005034
384,0.864,0.0054,0.004666
385,0.86,0.006,0.00516
386,0.868,0.0062,0.005382
387,0.864,0.0057,0.004925
388,0.868,0.0062,0.005382
389,0.86,0.0059,0.005074
390,0.868,0.0059,0.005121
391,0.864,0.0057,0.004925
392,0.868,0.0059,0.005121
393,0.86,0.0062,0.005332
394,0.868,0.0057,0.004948
395,0.86,0.0056,0.004816
396,0.872,0.0061,0.005319
397,0.86,0.0057,0.004902
398,0.868,0.0059,0.005121
399,0.864,0.0059,0.005098
400,0.868,0.0057,0.004948
401,0.864,0.0059,0.005098
402,0.868,0.0057,0.004948
403,0.86,0.0058,0.004988
404,0.868,0.0059,0.005121
405,0.868,0.0056,0.004861
406,0.868,0.0061,0.005295
407,0.864,0.0058,0.005011
408,0.864,0.0059,0.005098
409,0.868,0.0059,0.005121
410,0.868,0.0061,0.005295
411,0.864,0.0061,0.00527
412,0.864,0.0059,0.005098
413,0.868,0.0057,0.004948
414,0.868,0.0058,0.005034
415,0.864,0.0061,0.00527
416,0.868,0.006,0.005208
417,0.868,0.006,0.005208
418,0.868,0.0058,0.005034
419,0.868,0.0057,0.004948
420,0.868,0.0059,0.005121
421,0.864,0.0058,0.005011
422,0.872,0.0059,0.005145
423,0.864,0.0061,0.00527
424,0.868,0.0058,0.005034
425,0.868,0.0059,0.005121
426,0.868,0.0059,0.005121
427,0.872,0.0058,0.005058
428,0.872,0.0057,0.00497
429,0.868,0.0056,0.004861
430,0.872,0.0058,0.005058
431,0.868,0.0059,0.005121
432,0.868,0.0058,0.005034
433,0.872,0.0058,0.005058
434,0.868,0.0056,0.004861
435,0.868,0.0061,0.005295
436,0.868,0.0059,0.005121
437,0.868,0.0061,0.005295
438,0.872,0.0058,0.005058
439,0.872,0.0059,0.005145
440,0.864,0.0059,0.005098
441,0.872,0.0058,0.005058
442,0.868,0.0061,0.005295
443,0.868,0.0061,0.005295
444,0.872,0.0058,0.005058
445,0.868,0.0059,0.005121
446,0.868,0.0057,0.004948
447,0.864,0.0059,0.005098
448,0.86,0.0057,0.004902
449,0.872,0.0058,0.005058
450,0.872,0.0062,0.005406
451,0.868,0.0059,0.005121
452,0.868,0.0056,0.004861
453,0.868,0.006,0.005208
454,0.86,0.0056,0.004816
455,0.868,0.0058,0.005034
456,0.868,0.0057,0.004948
457,0.868,0.0061,0.005295
458,0.868,0.0058,0.005034
459,0.872,0.0058,0.005058
460,0.864,0.0062,0.005357
461,0.868,0.0061,0.005295
462,0.868,0.0057,0.004948
463,0.868,0.0058,0.005034
464,0.864,0.0059,0.005098
465,0.864,0.0059,0.005098
466,0.864,0.0059,0.005098
467,0.868,0.0058,0.005034
468,0.864,0.006,0.005184
469,0.868,0.0057,0.004948
470,0.868,0.0062,0.005382
471,0.872,0.0058,0.005058
472,0.868,0.0059,0.005121
473,0.868,0.0057,0.004948
474,0.864,0.0059,0.005098
475,0.868,0.0058,0.005034
476,0.864,0.0059,0.005098
477,0.872,0.0059,0.005145
478,0.868,0.0059,0.005121
479,0.864,0.0058,0.005011
480,0.864,0.0061,0.00527
481,0.868,0.0058,0.005034
482,0.864,0.0058,0.005011
483,0.864,0.0059,0.005098
484,0.868,0.0057,0.004948
